"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kevin Durant","OKC","30:00","11","23","4","11","8","8","0","3","3","2","2","2","0","3","34",".478",".364","1.000"
"Kobe Bryant","LAL","29:21","14","26","2","7","7","8","10","4","14","3","3","0","4","2","37",".538",".286",".875"
"Chris Paul","NOH","28:32","3","7","2","3","2","2","1","3","4","7","5","0","3","3","10",".429",".667","1.000"
"Carmelo Anthony","DEN","22:44","4","10","0","1","0","0","3","4","7","2","1","1","2","3","8",".400",".000",""
"Tim Duncan","SAS","11:40","1","4","0","0","0","0","1","2","3","2","2","0","0","0","2",".250","",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Pau Gasol","LAL","24:22","8","13","0","1","1","2","6","1","7","2","0","2","1","3","17",".615",".000",".500"
"Manu Ginóbili","SAS","20:43","2","7","0","3","3","4","1","2","3","5","3","0","2","3","7",".286",".000",".750"
"Deron Williams","UTA","17:53","2","7","1","3","0","0","0","1","1","7","1","1","2","0","5",".286",".333",""
"Blake Griffin","LAC","14:39","4","6","0","0","0","0","2","3","5","5","0","0","0","0","8",".667","",""
"Dirk Nowitzki","DAL","14:14","3","8","0","1","0","0","0","5","5","1","1","1","0","0","6",".375",".000",""
"Russell Westbrook","OKC","14:08","6","12","0","1","0","2","3","2","5","2","0","0","0","1","12",".500",".000",".000"
"Kevin Love","MIN","11:44","1","3","0","0","0","0","0","4","4","1","0","0","1","0","2",".333","",""
"Team Totals","","240","59","126","9","31","21","26","27","34","61","39","18","7","15","18","148",".468",".290",".808"
