"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kevin Durant","OKC","34:43","14","27","6","17","4","4","3","7","10","6","1","0","1","0","38",".519",".353","1.000"
"Kevin Love","MIN","32:46","5","11","2","7","1","4","1","8","9","2","1","0","1","0","13",".455",".286",".250"
"Blake Griffin","LAC","31:56","19","23","0","2","0","0","4","2","6","1","2","0","2","4","38",".826",".000",""
"Stephen Curry","GSW","27:36","4","14","2","11","2","2","1","2","3","11","1","0","2","1","12",".286",".182","1.000"
"James Harden","HOU","23:46","3","7","2","6","0","0","0","1","1","5","1","0","2","1","8",".429",".333",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Chris Paul","LAC","24:29","4","9","1","4","2","2","2","2","4","13","3","0","3","1","11",".444",".250","1.000"
"Dwight Howard","HOU","13:17","4","6","0","2","0","0","4","7","11","3","0","0","0","0","8",".667",".000",""
"LaMarcus Aldridge","POR","13:17","2","9","0","0","0","0","3","2","5","0","0","0","0","0","4",".222","",""
"Tony Parker","SAS","11:25","2","5","0","0","0","0","1","1","2","1","0","0","1","0","4",".400","",""
"Anthony Davis","NOP","9:35","5","6","0","0","0","0","0","1","1","0","2","0","1","0","10",".833","",""
"Damian Lillard","POR","8:44","3","8","3","6","0","0","0","1","1","0","0","0","1","1","9",".375",".500",""
"Dirk Nowitzki","DAL","8:26","0","2","0","1","0","0","0","1","1","0","0","0","0","0","0",".000",".000",""
"Team Totals","","240","65","127","16","56","9","12","19","35","54","42","11","0","14","8","155",".512",".286",".750"
