"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"LeBron James","CLE","32:28","10","22","1","6","4","4","1","4","5","6","4","0","2","1","25",".455",".167","1.000"
"Dwyane Wade","MIA","31:20","12","16","0","1","4","6","3","3","6","11","5","0","3","4","28",".750",".000",".667"
"Dwight Howard","ORL","27:24","7","10","1","2","2","3","0","5","5","1","0","3","1","4","17",".700",".500",".667"
"Joe Johnson","ATL","17:50","4","8","2","5","0","0","0","1","1","1","2","0","0","0","10",".500",".400",""
"Kevin Garnett","BOS","12:43","2","4","0","0","0","0","0","3","3","2","0","1","2","0","4",".500","",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Chris Bosh","TOR","29:08","9","16","0","0","5","7","2","8","10","1","2","0","3","0","23",".563","",".714"
"Rajon Rondo","BOS","19:49","2","3","0","0","0","0","1","0","1","5","1","0","2","1","4",".667","",""
"Gerald Wallace","CHA","15:32","1","3","0","0","0","0","0","3","3","1","0","0","0","0","2",".333","",""
"Derrick Rose","CHI","15:25","4","8","0","0","0","0","0","0","0","4","3","0","1","0","8",".500","",""
"Al Horford","ATL","14:19","4","5","0","0","0","1","0","4","4","2","1","1","0","1","8",".800","",".000"
"David Lee","NYK","12:26","2","3","0","0","0","0","0","2","2","1","0","0","3","1","4",".667","",""
"Paul Pierce","BOS","11:36","3","6","2","3","0","0","0","0","0","0","1","0","1","0","8",".500",".667",""
"Team Totals","","240","60","104","6","17","15","21","7","33","40","35","19","5","18","12","141",".577",".353",".714"
