"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"LeBron James","CLE","31:45","11","21","4","12","4","5","1","4","5","7","2","0","4","1","30",".524",".333",".800"
"Carmelo Anthony","NYK","30:16","6","20","2","13","0","0","3","4","7","0","1","1","1","2","14",".300",".154",""
"John Wall","WAS","29:17","9","16","1","4","0","0","0","3","3","7","2","0","4","1","19",".563",".250",""
"Pau Gasol","CHI","25:44","5","7","0","0","0","0","4","8","12","2","1","1","0","0","10",".714","",""
"Kyle Lowry","TOR","25:35","4","13","2","11","0","0","1","2","3","8","4","0","1","0","10",".308",".182",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kyrie Irving","CLE","19:08","4","9","2","6","1","1","2","4","6","5","0","0","1","0","11",".444",".333","1.000"
"Kyle Korver","ATL","15:35","7","13","7","12","0","0","0","1","1","2","0","0","0","1","21",".538",".583",""
"Paul Millsap","ATL","15:35","2","6","1","3","0","0","1","5","6","3","2","0","2","0","5",".333",".333",""
"Al Horford","ATL","13:30","4","6","0","0","0","0","3","4","7","2","0","0","1","1","8",".667","",""
"Jeff Teague","ATL","13:27","6","9","2","2","0","0","0","1","1","2","2","0","1","0","14",".667","1.000",""
"Chris Bosh","MIA","10:55","4","6","2","4","0","0","1","2","3","1","2","0","1","0","10",".667",".500",""
"Jimmy Butler","CHI","9:13","3","4","0","1","0","0","1","0","1","1","2","0","2","0","6",".750",".000",""
"Team Totals","","240","65","130","23","68","5","6","17","38","55","40","18","2","18","6","158",".500",".338",".833"
