"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kevin Durant","OKC","37:23","14","25","3","8","5","7","3","4","7","3","3","0","2","0","36",".560",".375",".714"
"Kobe Bryant","LAL","34:48","9","17","2","5","7","8","0","1","1","1","2","0","1","2","27",".529",".400",".875"
"Blake Griffin","LAC","31:26","9","12","1","2","3","6","3","5","8","3","2","0","1","3","22",".750",".500",".500"
"Chris Paul","LAC","30:57","3","7","2","5","0","0","0","5","5","12","1","0","2","1","8",".429",".400",""
"Andrew Bynum","LAL","5:31","0","3","0","1","0","0","1","2","3","1","1","1","0","0","0",".000",".000",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Russell Westbrook","OKC","27:31","10","17","1","4","0","2","5","0","5","2","2","0","1","3","21",".588",".250",".000"
"Kevin Love","MIN","18:24","7","12","2","4","1","3","2","5","7","1","3","0","1","0","17",".583",".500",".333"
"Dirk Nowitzki","DAL","13:44","3","8","1","5","0","0","2","2","4","1","0","0","0","1","7",".375",".200",""
"Marc Gasol","MEM","13:32","2","5","0","0","0","0","1","2","3","0","0","0","1","2","4",".400","",""
"Tony Parker","SAS","12:16","3","5","0","0","0","0","1","1","2","4","0","0","1","0","6",".600","",""
"LaMarcus Aldridge","POR","9:48","2","5","0","0","0","0","0","1","1","1","0","0","0","0","4",".400","",""
"Steve Nash","PHO","4:40","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","","",""
"Team Totals","","240","62","116","12","34","16","26","18","28","46","33","14","1","11","12","152",".534",".353",".615"
