"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kyrie Irving","BRK","32:00","10","15","2","6","2","3","3","2","5","12","2","0","1","2","24",".667",".333",".667"
"Bradley Beal","WAS","31:00","10","16","6","12","0","0","1","1","2","4","1","0","1","0","26",".625",".500",""
"Kawhi Leonard","LAC","20:00","3","8","2","7","0","0","1","8","9","8","1","0","3","0","8",".375",".286",""
"Jayson Tatum","BOS","17:00","9","16","3","9","0","0","1","3","4","7","4","0","0","3","21",".563",".333",""
"Zion Williamson","NOP","14:00","5","9","0","0","0","0","1","0","1","0","0","0","0","0","10",".556","",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"James Harden","BRK","32:00","7","14","7","13","0","0","0","2","2","4","1","0","3","0","21",".500",".538",""
"Donovan Mitchell","UTA","28:00","6","12","3","9","0","0","0","4","4","4","1","0","1","1","15",".500",".333",""
"Zach LaVine","CHI","28:00","5","10","2","6","1","2","3","1","4","3","3","0","2","1","13",".500",".333",".500"
"Nikola Vučević","ORL","13:00","2","6","1","5","0","0","0","7","7","1","1","0","0","0","5",".333",".200",""
"Julius Randle","NYK","13:00","2","2","0","0","0","0","0","2","2","2","0","0","2","0","4","1.000","",""
"Mike Conley","UTA","12:00","1","6","1","5","0","0","0","1","1","2","1","0","1","1","3",".167",".200",""
"Team Totals","","240","60","114","27","72","3","5","10","31","41","47","15","0","14","8","150",".526",".375",".600"
