"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kyle Lowry","TOR","28:31","5","13","4","12","0","0","0","5","5","10","2","1","6","2","14",".385",".333",""
"Paul George","IND","26:49","16","26","9","19","0","0","0","5","5","1","1","0","3","0","41",".615",".474",""
"Carmelo Anthony","NYK","22:56","6","11","1","5","0","0","3","3","6","0","0","1","2","2","13",".545",".200",""
"Dwyane Wade","MIA","22:56","4","7","0","1","0","0","1","3","4","6","2","0","3","0","8",".571",".000",""
"LeBron James","CLE","20:13","6","13","1","5","0","0","0","4","4","7","0","0","4","0","13",".462",".200",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"John Wall","WAS","19:29","10","14","2","2","0","0","0","3","3","3","1","0","2","0","22",".714","1.000",""
"Paul Millsap","ATL","19:04","1","6","1","2","0","0","1","2","3","1","0","0","0","0","3",".167",".500",""
"Isaiah Thomas","BOS","18:59","4","11","1","5","0","0","3","0","3","1","1","0","1","1","9",".364",".200",""
"DeMar DeRozan","TOR","18:54","9","15","0","3","0","1","1","0","1","2","1","0","1","0","18",".600",".000",".000"
"Andre Drummond","DET","18:13","8","11","0","1","0","0","5","8","13","0","2","0","1","1","16",".727",".000",""
"Pau Gasol","CHI","14:31","3","7","0","1","3","4","1","6","7","1","1","0","1","2","9",".429",".000",".750"
"Al Horford","ATL","9:25","3","3","1","3","0","0","0","3","3","2","0","0","0","0","7","1.000",".333",""
"Team Totals","","240","75","137","20","59","3","5","15","42","57","34","11","2","24","8","173",".547",".339",".600"
