"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"James Harden","HOU","26:36","11","16","7","12","0","0","3","5","8","8","2","0","4","0","29",".688",".583",""
"Stephen Curry","GSW","26:36","6","16","3","10","0","0","4","5","9","5","1","0","5","1","15",".375",".300",""
"Marc Gasol","MEM","24:55","3","6","0","1","0","0","2","8","10","2","2","0","1","1","6",".500",".000",""
"Klay Thompson","GSW","19:43","2","11","1","9","2","2","1","3","4","6","0","0","0","0","7",".182",".111","1.000"
"LaMarcus Aldridge","POR","18:08","7","11","4","4","0","0","1","1","2","0","0","0","1","0","18",".636","1.000",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Chris Paul","LAC","26:46","6","13","0","3","0","0","1","5","6","15","2","0","2","0","12",".462",".000",""
"Russell Westbrook","OKC","25:33","16","28","5","9","4","4","3","2","5","1","3","0","1","0","41",".571",".556","1.000"
"DeMarcus Cousins","SAC","18:06","6","7","0","0","2","3","4","3","7","0","0","0","1","1","14",".857","",".667"
"Damian Lillard","POR","16:28","4","12","3","9","0","0","2","0","2","2","1","0","4","0","11",".333",".333",""
"Tim Duncan","SAS","15:14","1","2","0","0","0","0","1","8","9","2","0","0","0","0","2",".500","",""
"Dirk Nowitzki","DAL","12:00","2","5","1","2","0","0","2","3","5","0","2","0","0","0","5",".400",".500",""
"Kevin Durant","OKC","9:55","1","6","1","6","0","0","0","3","3","1","1","0","2","0","3",".167",".167",""
"Team Totals","","240","65","133","25","65","8","9","24","46","70","42","14","0","21","3","163",".489",".385",".889"
