"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"James Harden","HOU","27:04","5","19","2","13","0","0","1","6","7","8","1","1","3","1","12",".263",".154",""
"DeMar DeRozan","TOR","26:46","7","13","1","3","6","7","2","4","6","2","2","0","2","1","21",".538",".333",".857"
"Stephen Curry","GSW","26:35","4","14","3","11","0","0","2","4","6","5","1","0","6","0","11",".286",".273",""
"Giannis Antetokounmpo","MIL","26:34","6","14","0","2","4","6","4","3","7","2","0","0","2","2","16",".429",".000",".667"
"Joel Embiid","PHI","20:05","8","13","2","4","1","1","3","5","8","1","1","2","0","3","19",".615",".500","1.000"
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kyle Lowry","TOR","21:26","2","11","0","8","0","0","2","5","7","11","3","0","1","1","4",".182",".000",""
"Klay Thompson","GSW","21:25","5","11","5","10","0","0","1","3","4","0","0","0","1","0","15",".455",".500",""
"Damian Lillard","POR","20:56","9","14","3","8","0","0","2","1","3","2","0","0","1","0","21",".643",".375",""
"Draymond Green","GSW","18:14","0","0","0","0","3","4","3","2","5","2","1","2","0","0","3","","",".750"
"Karl-Anthony Towns","MIN","18:11","7","11","1","4","2","2","4","6","10","0","0","0","1","0","17",".636",".250","1.000"
"Al Horford","BOS","12:46","2","4","0","2","2","2","0","5","5","2","1","0","0","0","6",".500",".000","1.000"
"Team Totals","","240","55","124","17","65","18","22","24","44","68","35","10","5","17","8","145",".444",".262",".818"
