"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kevin Durant","OKC","31:22","13","24","3","8","1","1","0","6","6","1","2","0","0","3","30",".542",".375","1.000"
"Kobe Bryant","LAL","27:36","4","9","0","3","1","2","2","2","4","8","2","2","1","2","9",".444",".000",".500"
"Blake Griffin","LAC","27:24","9","11","0","0","1","2","2","1","3","3","2","1","0","3","19",".818","",".500"
"Chris Paul","LAC","27:17","7","10","4","5","2","3","0","0","0","15","4","0","3","0","20",".700",".800",".667"
"Dwight Howard","LAL","14:11","4","6","1","1","0","0","0","7","7","0","0","0","1","1","9",".667","1.000",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"James Harden","HOU","25:50","6","13","3","8","0","0","1","5","6","3","0","0","2","2","15",".462",".375",""
"Tony Parker","SAS","21:58","5","10","1","3","2","2","0","1","1","5","2","0","3","0","13",".500",".333","1.000"
"Russell Westbrook","OKC","18:06","7","13","0","3","0","0","2","2","4","3","1","0","2","1","14",".538",".000",""
"David Lee","GSW","13:25","3","4","0","0","0","0","0","2","2","0","2","0","1","1","6",".750","",""
"Zach Randolph","MEM","13:21","3","6","0","0","0","0","1","4","5","0","0","0","0","0","6",".500","",""
"LaMarcus Aldridge","POR","11:27","0","2","0","0","0","0","0","4","4","1","0","2","1","0","0",".000","",""
"Tim Duncan","SAS","8:03","1","4","0","1","0","0","1","2","3","0","0","0","1","1","2",".250",".000",""
"Team Totals","","240","62","112","12","32","7","10","9","36","45","39","15","5","15","14","143",".554",".375",".700"
