"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kawhi Leonard","LAC","20:21","11","18","8","14","0","0","1","6","7","4","2","0","1","2","30",".611",".571",""
"Anthony Davis","LAL","20:21","9","16","1","6","1","2","2","7","9","1","3","3","1","3","20",".563",".167",".500"
"LeBron James","LAL","18:48","9","20","2","10","3","4","2","3","5","6","1","2","6","1","23",".450",".200",".750"
"James Harden","HOU","17:31","3","9","3","9","2","4","0","3","3","6","1","2","2","5","11",".333",".333",".500"
"Luka Dončić","DAL","17:31","3","6","2","5","0","0","0","1","1","4","1","0","0","0","8",".500",".400",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Ben Simmons","PHI","29:18","8","9","0","0","1","2","1","5","6","5","2","1","0","0","17",".889","",".500"
"Russell Westbrook","HOU","27:04","2","10","0","4","2","4","2","1","3","3","0","0","1","0","6",".200",".000",".500"
"Chris Paul","OKC","25:31","8","13","7","11","0","0","0","2","2","6","0","0","2","4","23",".615",".636",""
"Devin Booker","PHO","19:00","3","8","0","4","0","0","2","2","4","0","0","1","4","1","6",".375",".000",""
"Domantas Sabonis","IND","19:00","0","1","0","0","2","4","3","3","6","0","0","0","1","0","2",".000","",".500"
"Jayson Tatum","BOS","13:37","3","8","0","4","0","0","0","1","1","3","3","0","0","0","6",".375",".000",""
"Nikola Jokić","DEN","11:58","2","4","1","3","0","0","0","2","2","1","1","0","0","1","5",".500",".333",""
"Team Totals","","240","61","122","24","70","11","20","13","36","49","39","14","9","18","17","157",".500",".343",".550"
