"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Luka Dončić","DAL","32:00","3","7","2","6","0","0","0","3","3","8","0","0","2","1","8",".429",".333",""
"Stephen Curry","GSW","22:00","10","19","8","16","0","0","0","4","4","4","2","0","1","0","28",".526",".500",""
"Giannis Antetokounmpo","MIL","19:00","16","16","3","3","0","0","3","4","7","3","1","1","3","1","35","1.000","1.000",""
"Nikola Jokić","DEN","19:00","3","4","0","0","0","0","0","7","7","5","0","1","2","1","6",".750","",""
"LeBron James","LAL","13:00","2","7","0","3","0","0","0","2","2","4","0","1","1","0","4",".286",".000",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Chris Paul","PHO","31:00","3","6","0","3","0","0","1","7","8","16","3","0","3","3","6",".500",".000",""
"Jaylen Brown","BOS","26:00","8","12","5","7","1","3","2","3","5","1","2","0","3","1","22",".667",".714",".333"
"Paul George","LAC","26:00","6","8","5","7","0","0","0","2","2","2","1","0","1","0","17",".750",".714",""
"Damian Lillard","POR","21:00","11","20","8","16","2","2","0","2","2","1","0","0","2","1","32",".550",".500","1.000"
"Domantas Sabonis","IND","18:00","1","2","0","0","0","0","1","0","1","1","0","0","0","0","2",".500","",""
"Rudy Gobert","UTA","13:00","5","6","0","0","0","0","1","6","7","1","0","0","0","0","10",".833","",""
"Team Totals","","240","68","107","31","61","3","5","8","40","48","46","9","3","18","8","170",".636",".508",".600"
