,Player,season
6,,16
8,John Wall,16
9,Paul Millsap,16
10,Isaiah Thomas,16
11,DeMar DeRozan,16
12,Andre Drummond,16
13,Pau Gasol,16
14,Al Horford,16
1,DeMar DeRozan,17
2,Giannis Antetokounmpo,17
3,Kyrie Irving,17
4,LeBron James,17
5,Jimmy Butler,17
6,,17
8,Paul George,17
9,John Wall,17
10,Kemba Walker,17
11,Carmelo Anthony,17
12,Isaiah Thomas,17
13,Kyle Lowry,17
14,Paul Millsap,17
1,James Harden,18
2,DeMar DeRozan,18
3,Stephen Curry,18
4,Giannis Antetokounmpo,18
5,Joel Embiid,18
6,,18
8,Kyle Lowry,18
9,Klay Thompson,18
10,Damian Lillard,18
11,Draymond Green,18
12,Karl-Anthony Towns,18
13,Al Horford,18
1,Stephen Curry,19
2,Giannis Antetokounmpo,19
3,Paul George,19
4,Joel Embiid,19
5,Kemba Walker,19
6,,19
8,Khris Middleton,19
9,Blake Griffin,19
10,Russell Westbrook,19
11,Nikola Jokić,19
12,Kyle Lowry,19
13,D'Angelo Russell,19
14,Nikola Vučević,19
15,Dirk Nowitzki,19
1,Giannis Antetokounmpo,20
2,Kemba Walker,20
3,Joel Embiid,20
4,Pascal Siakam,20
5,Trae Young,20
6,,20
8,Kyle Lowry,20
9,Khris Middleton,20
10,Rudy Gobert,20
11,Donovan Mitchell,20
12,Jimmy Butler,20
13,Bam Adebayo,20
14,Brandon Ingram,20
1,Kyrie Irving,21
2,Bradley Beal,21
3,Kawhi Leonard,21
4,Jayson Tatum,21
5,Zion Williamson,21
6,,21
8,James Harden,21
9,Donovan Mitchell,21
10,Zach LaVine,21
11,Nikola Vučević,21
12,Julius Randle,21
13,Mike Conley,21
