"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Giannis Antetokounmpo","MIL","30:45","12","21","1","4","0","2","4","7","11","4","1","3","1","4","25",".571",".250",".000"
"Kemba Walker","BOS","29:10","9","18","5","11","0","0","1","2","3","3","1","0","3","1","23",".500",".455",""
"Joel Embiid","PHI","29:10","8","13","0","2","6","8","2","8","10","1","0","0","2","3","22",".615",".000",".750"
"Pascal Siakam","TOR","17:33","7","10","0","2","1","2","0","6","6","0","1","0","1","4","15",".700",".000",".500"
"Trae Young","ATL","15:45","4","10","2","6","0","0","0","3","3","10","0","0","4","1","10",".400",".333",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kyle Lowry","TOR","28:14","4","12","1","4","4","4","0","5","5","8","3","0","3","4","13",".333",".250","1.000"
"Khris Middleton","MIL","23:09","2","7","1","5","0","0","0","1","1","2","0","0","0","0","5",".286",".200",""
"Rudy Gobert","UTA","18:50","10","11","0","0","1","3","5","6","11","2","0","1","0","0","21",".909","",".333"
"Donovan Mitchell","UTA","14:16","3","10","1","3","0","0","0","5","5","4","2","1","1","1","7",".300",".333",""
"Jimmy Butler","MIA","12:55","2","2","0","0","0","0","2","1","3","2","2","0","4","0","4","1.000","",""
"Bam Adebayo","MIA","11:40","4","5","0","0","0","0","0","2","2","1","0","0","1","0","8",".800","",""
"Brandon Ingram","NOP","8:33","1","4","0","3","0","0","1","0","1","1","1","0","1","0","2",".250",".000",""
"Team Totals","","240","66","123","11","40","12","19","15","46","61","38","11","5","21","18","155",".537",".275",".632"
