"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kyrie Irving","CLE","33:51","14","17","3","6","0","0","1","4","5","14","0","0","5","4","31",".824",".500",""
"LeBron James","MIA","33:08","11","22","0","7","0","0","1","6","7","7","3","0","1","0","22",".500",".000",""
"Paul George","IND","33:08","6","13","1","5","5","5","1","4","5","5","2","0","1","2","18",".462",".200","1.000"
"Carmelo Anthony","NYK","30:06","10","18","8","13","2","2","3","2","5","2","0","0","0","3","30",".556",".615","1.000"
"Dwyane Wade","MIA","11:41","5","6","0","0","0","0","1","0","1","3","2","0","1","0","10",".833","",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Joakim Noah","CHI","20:46","4","5","0","0","0","0","0","5","5","5","1","0","1","2","8",".800","",""
"John Wall","WAS","15:04","5","7","0","1","2","2","0","5","5","4","2","0","3","1","12",".714",".000","1.000"
"DeMar DeRozan","TOR","14:52","4","7","0","1","0","0","1","2","3","2","0","0","0","0","8",".571",".000",""
"Paul Millsap","ATL","14:52","3","5","0","2","0","0","0","3","3","1","0","0","0","0","6",".600",".000",""
"Roy Hibbert","IND","12:19","4","5","0","1","0","0","1","4","5","2","0","0","1","0","8",".800",".000",""
"Chris Bosh","MIA","10:07","2","3","1","2","0","0","0","2","2","0","2","0","1","1","5",".667",".500",""
"Joe Johnson","BRK","10:06","2","7","1","6","0","0","0","1","1","1","0","0","0","1","5",".286",".167",""
"Team Totals","","240","70","115","14","44","9","9","9","38","47","46","12","0","14","14","163",".609",".318","1.000"
