"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Dwyane Wade","MIA","32:54","11","15","0","1","2","2","3","7","10","10","2","0","4","4","24",".733",".000","1.000"
"LeBron James","MIA","32:09","15","23","6","8","0","0","0","6","6","7","0","0","4","2","36",".652",".750",""
"Dwight Howard","ORL","31:10","4","9","0","4","1","2","5","5","10","3","0","1","1","4","9",".444",".000",".500"
"Carmelo Anthony","NYK","30:20","7","15","0","3","5","7","4","5","9","0","2","0","0","0","19",".467",".000",".714"
"Derrick Rose","CHI","18:17","6","8","2","2","0","0","1","0","1","3","0","0","2","1","14",".750","1.000",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Chris Bosh","MIA","20:08","3","9","1","2","0","0","1","1","2","1","2","1","1","2","7",".333",".500",""
"Deron Williams","NJN","18:08","8","11","4","7","0","0","1","2","3","4","1","0","0","2","20",".727",".571",""
"Rajon Rondo","BOS","15:34","1","3","0","0","0","0","0","2","2","8","0","0","4","1","2",".333","",""
"Andre Iguodala","PHI","14:11","6","7","0","1","0","0","1","3","4","2","1","1","1","0","12",".857",".000",""
"Paul Pierce","BOS","11:07","1","8","1","4","0","0","1","1","2","0","0","1","2","1","3",".125",".250",""
"Roy Hibbert","IND","10:11","1","3","0","0","1","1","1","2","3","1","0","0","0","0","3",".333","","1.000"
"Luol Deng","CHI","5:51","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0",".000","",""
"Team Totals","","240","63","113","14","32","9","12","18","34","52","40","8","4","19","17","149",".558",".438",".750"
